State,Date,ConfirmedCases,HospitalizedCases,Deaths,cases_age0_9,cases_age10_19,cases_age20_29,cases_age30_39,cases_age40_49,cases_age50_59,cases_age60_69,cases_age70_79,cases_age80_Older,NA
CONNECTICUT,03/24/2020,618,71,12,9,10,78,81,105,115,98,61,59,
CONNECTICUT,03/25/2020,883,113,19,12,19,120,131,138,172,133,84,74,
CONNECTICUT,03/26/2020,1012,125,21,14,20,142,151,154,204,151,94,82,
CONNECTICUT,03/27/2020,1291,173,27,11,23,168,192,190,275,200,124,108,
CONNECTICUT,03/28/2020,1524,205,33,15,35,192,230,231,326,228,144,123,
CONNECTICUT,03/29/2020,1993,205,34,20,48,239,308,324,428,314,172,140,
CONNECTICUT,03/30/2020,2571,517,36,27,58,320,403,427,550,406,221,159,
CONNECTICUT,03/31/2020,3128,608,69,28,66,387,496,536,665,485,253,208,
CONNECTICUT,04/01/2020,3557,766,85,29,74,432,560,620,752,550,296,240,
CONNECTICUT,04/02/2020,3824,827,112,31,78,464,585,664,810,607,320,260,
CONNECTICUT,04/03/2020,4914,909,131,39,97,561,743,834,1010,756,403,341,
CONNECTICUT,04/04/2020,5276,1033,165,47,106,607,801,900,1084,829,441,391,
CONNECTICUT,04/05/2020,5675,1142,189,49,113,639,856,963,1152,896,475,463,
CONNECTICUT,04/06/2020,6906,1221,206,60,149,792,1062,1189,1390,1092,569,546,
CONNECTICUT,04/07/2020,7781,1308,277,67,168,870,1189,1302,1550,1247,646,635,
CONNECTICUT,04/08/2020,8781,1418,335,73,184,973,1328,1438,1761,1417,748,752,
CONNECTICUT,04/09/2020,9784,1464,380,77,203,1097,1478,1626,1968,1561,836,839,
CONNECTICUT,04/10/2020,10538,1562,448,81,215,1178,1575,1747,2115,1675,916,940,
CONNECTICUT,04/11/2020,11510,1593,494,88,238,1266,1701,1887,2273,1854,1027,1090,
CONNECTICUT,04/12/2020,12035,1654,554,89,245,1305,1772,1972,2372,1947,1080,1167,
CONNECTICUT,04/13/2020,13381,1760,602,97,274,1430,1921,2151,2593,2148,1212,1314,
CONNECTICUT,04/14/2020,13989,1779,671,100,281,1489,2013,2256,2715,2245,1266,1396,
CONNECTICUT,04/15/2020,14755,1908,868,107,291,1557,2101,2348,2838,2357,1381,1581,
CONNECTICUT,04/16/2020,15884,1926,971,117,311,1670,2244,2534,3050,2545,1477,1734,
CONNECTICUT,04/17/2020,16809,1946,1036,130,330,1781,2379,2683,3248,2683,1541,1866,
CONNECTICUT,04/18/2020,17550,1938,1086,133,345,1854,2469,2791,3375,2805,1618,1994,
